id,site,title,companyName,location,jobUrl,datePosted,jobType,isRemote,minAmount,maxAmount,currency,interval,description
nk-290526504304,naukri,Marketing Manager,PIERIAN,Bengaluru,https://www.naukri.com/job-listings-marketing-manager-pierian-services-bengaluru-5-to-10-years-290526504304,2026-05-30,5-10 Yrs,false,,,,,comfortable working across global time zones and executing marketing programmes for Nor...
nk-280526028199,naukri,Marketing Manager,Asahi India Glass (AIS),"Mumbai, Thane, Mumbai (All Areas)",https://www.naukri.com/job-listings-marketing-manager-asahi-india-glass-ais-mumbai-thane-mumbai-all-areas-10-to-16-years-280526028199,2026-05-29,10-16 Yrs,false,,,,,Develop experiental marketing tools by use of latest technologies (VR / AR) to showcase...
nk-280526021793,naukri,Marketing Manager,Sunteck Realty,"Mumbai Suburban, Mumbai (All Areas)(Vile Parle East +1)",https://www.naukri.com/job-listings-marketing-manager-sunteck-realty-mumbai-suburban-mumbai-all-areas-6-to-11-years-280526021793,2026-05-29,6-11 Yrs,false,,,,,Essential . MBA (Marketing) from Tier 2 institute. 6 years experience in real estate ma...
