id,site,title,companyName,location,jobUrl,datePosted,jobType,isRemote,minAmount,maxAmount,currency,interval,description
wwr-horizon3-ai-webapp-offensive-security-software-engineer,weworkremotely,Webapp Offensive Security Software Engineer,Horizon3 AI,Anywhere in the World,https://weworkremotely.com/remote-jobs/horizon3-ai-webapp-offensive-security-software-engineer,2026-05-28,fulltime,true,185000,240000,USD,yearly,"<img src=""https://we-work-remotely.imgix.net/logos/0171/5357/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress"" /> <p> <strong>Headquarters:</strong> US, Remote <br /><strong>URL:</strong> <a href=""http://horizon3.ai"">http://horizon3.ai</a> </p> <p><strong>Get to Know Us</strong></p><p>Horizon3.ai is a fast-growing, remote cybersecurity company dedicated to the mission of enabling organizations to proactively find and fix and verify exploitable attack vectors before criminals exploit them. Our flagship product, the NodeZeroTM platform, delivers production-safe autonomous pentests and other key assessment operations that scale across the largest internal, external, cloud, and hybrid cloud environments. NodeZero has been adopted by organizations of all sizes, from small educational institutions to government agencies and Global 100 enterprises. It is used by ITOps/SecOps teams, consulting pentesters, and MSSPs and MSPs.&nbsp;</p><p>We are a fusion of former U.S. Special Operations cyber operators, startup engineers, and formerly frustrated cybersecurity practitioners. We're committed to helping solve our common security problems: ineffective security tools, false positives resulting in alert fatigue, blind spots, ""checkbox” security culture, cybersecurity skills shortage, and the long lead time and expense of hiring outside consultants. Collectively, we are a team of learn it alls, committed to a culture of respect, collaboration, ownership, and results.</p><p></p><p><strong>Summary</strong></p><p>We're looking for an Offensive Security Software Engineer with extensive web application penetration testing experience and a growing interest in AI-enhanced security techniques. You will have a significant impact on how we deliver value to our customers by designing, developing, and integrating web application penetration testing content into the NodeZero platform. This position requires practical expertise in full-scope web application testing, proven software development skills, and enthusiasm for leveraging emerging AI technologies to advance offensive security capabilities.</p><p>&nbsp;</p><p><strong>Essential Functions</strong></p><ul><li><p>Design, develop, and integrate web application offensive security content into the NodeZero platform</p></li><li><p>Design, develop, and integrate novel attack capabilities into the NodeZero platform, including offensive security tooling and AI-enhanced techniques.</p></li><li><p>Research and implement AI-driven methods for vulnerability detection, exploitation, and workflow automation.</p></li><li><p>Extend and maintain platform architecture, data models, and system design to support new product features.</p></li><li><p>Monitor production for issues or missed opportunities and create or resolve Jira tickets as needed.</p></li><li><p>Integrate open-source and in-house tools, ensuring quality through testing, code reviews, and production monitoring.</p></li><li><p>Investigate, own, and resolve bugs in developed content.</p></li><li><p>Collaborate cross-functionally to address customer and prospect concerns related to attack content.</p></li><li><p>Author technical blog posts showcasing new research, exploits, or attack methodologies.</p></li><li><p>Mentor junior engineers and contribute to continuous improvement of team processes and standards</p></li></ul><p><strong>Competencies/Requirements</strong></p><ul><li><p>Experience conducting full scope web application pentests</p></li><li><p>Experience with proxy tools like Burp and with browser developer tools</p></li><li><p>Proficient in object-oriented programming and test-driven development, with strong analytical and problem-solving skills.</p></li><li><p>Experience applying AI-assisted development tools to security research and automation tasks</p></li><li><p>Curiosity about emerging AI technologies.</p></li><li><p>Skilled in designing, evaluating, and communicating technical solutions across systems, APIs, algorithms, and data structures.</p></li><li><p>Familiarity with relational and graph databases, particularly Postgres and Neo4j.</p></li><li><p>Strong written and verbal communication, including technical documentation.</p></li><li><p>Ability to manage multiple priorities, work independently, and mentor teammates of varying experience levels.</p></li><li><p>Quick to learn and adopt new technologies as needed.</p></li><li><p>History of recognized security research, including documented CVE discoveries and responsible disclosure</p></li><li><p>Track record of successful bug bounty contributions</p></li></ul><p></p><p><strong>Desired/Nice to Have</strong></p><ul><li><p>Experience developing software and automation to aid in web application pentesting</p></li><li><p>Background in large-scale software development projects.</p></li><li><p>Experience fine-tuning language models or implementing retrieval-augmented generation (RAG) for security-focused applications.</p></li><li><p>Experience with AI/LLM tools for building agentic workflows (e.g., LangChain, LangFlow) and integrating contextual data using protocols like Model Context Protocol (MCP).</p></li></ul><p><strong>Expectations:</strong></p><ul><li><p>Outstanding problem-solving aptitude.</p></li><li><p>Be self-motivated and highly energetic to have the ability to operate effectively with limited supervision and guidance.</p></li><li><p>Work with our security researchers to understand the technical aspects of reverse engineered exploits and weaponizing these exploits into the product.</p></li><li><p>Strong technical documentation and communication&nbsp;skills.</p></li><li><p>Document findings, methodologies, and recommendations for both technical and non-technical stakeholders.</p></li><li><p>Proficient in designing, presenting, and evaluating technical solutions.</p></li></ul><p><strong>What makes you stand out:</strong></p><ul><li><p>Demonstrated examples of using AI to enhance or automate exploit development</p></li></ul><ul><li><p>OSCP (Offensive Security Certified Professional) Certification</p></li></ul><p></p><p><strong>Travel Required&nbsp;</strong></p><p>We are a fully remote company, and this job may require up to 15% of travel to be successful. Job-related travel expenses are reviewed and must be approved by your manager.</p><p>&nbsp;</p><p><strong>Perks of Horizon3.ai</strong></p><ul><li><p>Inclusive Team: We value diversity and promote an inclusive culture where everyone can thrive.</p></li><li><p>Growth Opportunities: Be part of a dynamic and growing team with numerous career development opportunities.</p></li><li><p>Innovative Culture: Work in a collaborative environment that encourages creativity and out-of-the-box thinking.</p></li><li><p>Remote Work: We are a 100% remote company. Enjoy the convenience and work-life balance that comes with remote work.&nbsp;</p></li><li><p>Competitive Compensation: We offer competitive salary, equity and benefits. Our benefits include health, vision &amp; dental insurance for you and your family, a flexible vacation policy, and generous parental leave.</p></li></ul><p></p><p><strong>Compensation and Values</strong></p><p>At Horizon3, we believe that our people are our greatest asset, and our compensation philosophy reflects this core value. We are committed to fostering an environment where all employees feel valued, respected, and rewarded for their contributions. Our compensation structure is designed to be fair, competitive, and transparent, ensuring that every team member is recognized and compensated equitably across roles, levels, and locations.</p><p>In accordance with various State’s transparency regulations, we provide the following salary range information for this position:</p><ul><li><p><strong>Base salary range: $185,000 - $240,000 annually</strong>. The exact salary will be determined based on the selected candidate’s location, qualifications, experience, and relevant skills.</p></li><li><p>Additional compensation: All full-time roles are eligible for an equity package in the form of stock options.</p></li></ul><p></p><p><strong>You Belong Here</strong></p><p>Horizon3 is not just an equal opportunity employer - we are a community that values diversity, equity, and inclusion as fundamental principles of our culture and success. We are dedicated to fostering a workplace where everyone feels welcome and respected, regardless of race, color, religion, sex, national origin, age, disability, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, or any other legally protected status by law.</p><p>Our commitment to diversity and inclusion means we strive to attract, develop, and retain a workforce that reflects the varied communities we serve. We believe that diverse perspectives drive innovation and strengthen our ability to create cutting-edge cybersecurity solutions. At Horizon3, every team member is valued and supported in an environment that encourages personal and professional growth.</p><p>We welcome candidates from all backgrounds and experiences, and we encourage all qualified individuals to apply. Come be a part of Horizon3, where your unique contributions are recognized, and your potential is limitless.</p><p><strong>Other Duties</strong></p><p>Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee. Duties, responsibilities, and activities may change at any time with or without notice.&nbsp;</p> <p><strong>To apply:</strong> <a href=""https://weworkremotely.com/remote-jobs/horizon3-ai-webapp-offensive-security-software-engineer"">https://weworkremotely.com/remote-jobs/horizon3-ai-webapp-offensive-security-software-engineer</a></p>"
wwr-engagedmd-senior-software-engineer,weworkremotely,Senior Software Engineer,EngagedMD,"Anywhere in the World, District of Columbia, 🇺🇸 United States of America",https://weworkremotely.com/remote-jobs/engagedmd-senior-software-engineer,2026-05-28,fulltime,true,,,,,"<img src=""https://we-work-remotely.imgix.net/logos/0123/5852/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress"" /> <p> <strong>Headquarters:</strong> Washington, DC <br /><strong>URL:</strong> <a href=""https://engaged-md.com"">https://engaged-md.com</a> </p> <p>You're an engineer with strong full-stack experience, capable of contributing across our entire product ecosystem. We’re EngagedMD and we have a patient journey application used by more than 3 million users nationwide and internationally since its launch. We continue to see enormous growth and adoption from medical clinics across multiple markets. This is an exciting opportunity to join us in our mission to help carers carry on caring.</p> <p>You will have the opportunity to architect backend infrastructure and develop new features for our customers while also closely collaborating with our Platform, Product and Customer Success teams. At EngagedMD, Software Engineers play a key role not only in building software, but also in shaping how technical solutions are defined and executed. Our Product team defines priorities, customer needs, and desired outcomes and engineers partner closely in shaping the implementation approach and execution strategy needed to deliver those outcomes effectively.</p> <p>This fully remote role reports to our Development Lead and candidates are required to reside in the United States. This role requires legal authorization to work in the United States. EngagedMD is able to sponsor current H1B visa holders for this role.</p> <p>&nbsp;</p> <p><strong>What You’ll Do</strong></p> <ul> <li>Design and develop robust, scalable, and secure full-stack solutions for our patient journey web application, ensuring high performance and availability across both client and server.</li> <li>Collaborate with various teams to understand and translate business requirements into technical solutions that meet our customers' needs.&nbsp;</li> <li>Build and maintain APIs to integrate with third-party services and tools, ensuring seamless data exchange and interoperability</li> <li>Optimize and tune the application for performance, scalability, and reliability, working closely with the DevOps team</li> <li>Participate in code reviews, testing, and quality assurance activities to ensure code quality and adherence to best practices and standards</li> </ul> <p>&nbsp;</p> <p><strong>What You’ll Bring</strong></p> <ul> <li>A minimum of 5 years of software development experience</li> <li>Experience with Node.js, Typescript, React, and SQL</li> <li>Experience with AWS</li> <li>A mission-driven orientation to all you do&nbsp;</li> <li>Superior written and verbal communication skills</li> <li>Ability to thrive in a small, fast-paced organization&nbsp;</li> <li>Bachelor’s degree or equivalent career experience&nbsp;</li> </ul> <p>&nbsp;</p> <p><strong>It’s Also Nice If You…</strong></p> <ul> <li>Have at least a passing familiarity with the fertility and/or healthcare industries</li> <li>Have successfully worked remotely with distributed teams in the past</li> </ul> <p>&nbsp;</p> <p><strong>What We Offer</strong></p> <ul> <li>Competitive compensation and equity</li> <li>Medical, dental, and vision coverage heavily subsidized by the company</li> <li>Open Paid Time Off</li> <li>Paid family and medical leave</li> <li>Generous paid holidays</li> <li>401(k) retirement savings plan&nbsp;</li> </ul> <p>&nbsp;</p> <p><em>EngagedMD is an equal opportunity employer. We’re committed to diversity, equity, and inclusion. We believe our company and products are made better by the varied perspectives of our employees, each of whom we seek to empower and support in their individuality. We hire our team members on the basis of merit, qualifications, and the needs of our business in order to best achieve our mission to make life easier for the clinics and patients we serve.</em></p> <p><strong>To apply:</strong> <a href=""https://weworkremotely.com/remote-jobs/engagedmd-senior-software-engineer"">https://weworkremotely.com/remote-jobs/engagedmd-senior-software-engineer</a></p>"
wwr-compound-planning-staff-software-engineer,weworkremotely,Staff Software Engineer,Compound Planning,Anywhere in the World,https://weworkremotely.com/remote-jobs/compound-planning-staff-software-engineer,2026-05-26,fulltime,true,,,,,"<img src=""https://we-work-remotely.imgix.net/logos/0171/5329/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress"" /> <p> <strong>Headquarters:</strong> Remote <br /><strong>URL:</strong> <a href=""http://withcompound.com"">http://withcompound.com</a> </p> <p><strong>Overview:</strong><em>&nbsp;</em></p><p>At Compound Planning, we’re building the next-generation financial planning platform, and we need software engineers to help deliver that vision. As a <strong>Staff Software Engineer</strong>, you will play a crucial role in delivering a best-in-class experience that empowers clients to understand their comprehensive financial picture, collaborate seamlessly with advisors, and unlock powerful financial solutions.</p><p>You’ll work in a <strong>collaborative, cross-functional team</strong> of engineers, product managers, and designers, using modern technologies to build high-quality, scalable, and innovative software. Your contributions will directly impact the success of our product and company.</p><p><strong>Important Note on Work Authorization:</strong><br>While we value diverse backgrounds and experiences, Compound is not currently able to sponsor work visas (including H-1B). Candidates must be authorized to work in the U.S. without sponsorship.</p><p><strong>What you’ll do:</strong><em>&nbsp;</em></p><ul><li><p><strong>Design, build, and maintain</strong> high-quality applications.</p></li><li><p><strong>Lead </strong>feature implementation and own the <strong>end-to-end delivery</strong> of new features and enhancements, from concept to deployment.</p></li><li><p>Design <strong>elegant, scalable, and maintainable</strong> software solutions to solve complex business problems.</p></li><li><p><strong>Collaborate </strong>closely with designers, product managers, and engineers to bring ideas to life.</p></li><li><p><strong>Contribute to system architecture</strong>, ensuring performance, scalability, and security.</p></li><li><p><strong>Review code, mentor teammates, and share best practices</strong> to elevate team performance.</p></li><li><p>Triage and resolve software defects, continuously improving application quality and user experience.</p></li><li><p>Stay at the forefront of <strong>development trends and innovations</strong>, driving technical excellence while delivering for the business.</p></li><li><p>Actively participate in <strong>agile software development</strong>, including planning, code reviews, demo and retrospectives.</p></li></ul><p><strong>Minimum Requirements:&nbsp;&nbsp;</strong></p><ul><li><p><strong>6+ years of experience</strong> delivering high quality software.</p></li><li><p>Experience building <strong>APIs, backend systems, frontends, and app architecture</strong>.</p></li><li><p>Deep technical expertise in one or more languages.</p></li><li><p>Strong understanding of <strong>computer science fundamentals</strong> and <strong>software engineering best practices.</strong></p></li><li><p>Excellent <strong>problem-solving skills</strong> and ability to navigate <strong>ambiguous and evolving requirements</strong>.</p></li><li><p>Demonstrated high degree of <strong>ownership </strong>and a startup mindset.</p></li><li><p>Strong <strong>communication and collaboration</strong> skills within an agile team.</p></li><li><p>Ability to <strong>thrive in a fast-paced, dynamic environment</strong> with shifting priorities.</p></li><li><p>A <strong>growth mindset</strong> with a passion for continuous learning and improvement.</p></li><li><p>Ability to work core hours that align with US time zones.</p></li></ul><p><strong>Preferred Qualifications:</strong></p><ul><li><p>Experience in <strong>FinTech</strong> or working in a <strong>startup environment</strong>.</p></li><li><p>Strong grasp of <strong>modern, lean, web-application technologies</strong></p></li><li><p>Familiarity creating <strong>integrations with external data sources</strong> and/or world class <strong>data visualizations</strong></p></li><li><p>Familiarity with tools like <strong>Node.js, React, Next.js, Postgres, and AWS services</strong>.</p></li><li><p>Experience with <strong>CI/CD pipelines</strong>.</p></li><li><p>Understanding of <strong>security best practices</strong>.</p></li><li><p>Building, optimizing, or integrating <strong>AI/ML solutions</strong>.</p></li><li><p><strong>Mobile development</strong> experience</p></li></ul><p>Join us at <strong>Compound Planning</strong> and help shape the future of financial planning delivering a world-class experience!</p> <p><strong>To apply:</strong> <a href=""https://weworkremotely.com/remote-jobs/compound-planning-staff-software-engineer"">https://weworkremotely.com/remote-jobs/compound-planning-staff-software-engineer</a></p>"
