id,site,title,companyName,location,jobUrl,datePosted,jobType,isRemote,minAmount,maxAmount,currency,interval,description
landingjobs-19426,landingjobs,Senior Software Engineer,,,https://landing.jobs/jobs/19426,2025-10-23,,true,,,,,"We are seeking experienced Software Engineers to contribute to projects across a wide range of technologies and programming languages, including JavaScript, Python, Go, C++, Ruby, and more.  
  
This is an open-ended contract opportunity, structured around project-based work with no set schedules or minimum time or task commitments. Contributors who work with us decide which available projects they'd like to work on, when they work, and how much they contribute, which makes it an excellent option for those seeking flexible and high-impact work.  
In this role, you will help advance AI research by understanding complex systems, exploring large codebases, and developing approaches to verify the correctness of software behavior.  
  
**Responsibilities**

*   Rapidly build context in large, multi-module codebases
*   Analyze feature implementations for correctness and edge cases
*   Produce clear, structured documentation of findings and rationale"
landingjobs-19290,landingjobs,Senior Software Engineer - Platform and Infrastructure,,,https://landing.jobs/jobs/19290,2025-06-11,,false,,,,,"You will join one of the talented product development teams to work on feature development, with a primary focus on the company's business growth, on projects such as the evolution of the company's plans and pricing strategy, the trial experience, the payment experience, or the onboarding experience of our customers. As a team member within the organization, you will collaborate closely with the product manager, product designer, engineering manager, and front-end engineers within the team. You will play a pivoting role in innovating the ways the team could deliver value to impact the company's trajectory, both in the short-term and long-term."
landingjobs-19168,landingjobs,Senior Software Engineer,,,https://landing.jobs/jobs/19168,2025-04-15,,false,,,,,"You will join one of the talented product development teams to work on feature development, with a primary focus on the company's business growth, on projects such as the evolution of the company's plans and pricing strategy, the trial experience, the payment experience, or the onboarding experience of our customers. As a team member within the organization, you will collaborate closely with the product manager, product designer, engineering manager, and front-end engineers within the team. You will play a pivoting role in innovating the ways the team could deliver value to impact the company's trajectory, both in the short-term and long-term."
