company_name,location,objective_signal,title_match,open_roles,priority,fit,source
AlphaSense,Remote - United States,united states,"Senior Product Marketing Manager, API, Security & Infrastructure",117,low,low,Greenhouse
Applied Intuition,"Sunnyvale, California, United States",united states,,39,low,low,Greenhouse
Careers at Tide,"India, Delhi NCR",,,26,low,low,Greenhouse
Conga,India - Bangalore,pipeline,,13,low,low,Greenhouse
"Crunchyroll, LLC","Mumbai, Maharashtra, India",,,26,low,low,Greenhouse
Enterpret,New York City,united states,Founding Director of Product Marketing,13,low,low,Greenhouse
Ethos Life,"Bangalore, India",pipeline,,26,low,low,Greenhouse
GitLab,"Remote, India",pipeline,,13,low,low,Greenhouse
Harness,"Bengaluru, Karnataka, India",pipeline,,13,low,low,Greenhouse
MiQ Digital,Mumbai,,Product Marketing Manager,13,low,low,Greenhouse
Monster Energy APAC,India,pipeline,,26,low,low,Greenhouse
New Relic,"Bangalore, India",pipeline,,13,low,low,Greenhouse
Neysa Networks - Careers Page,"Mumbai, Maharashtra, India",,,13,low,low,Greenhouse
OLIVER Agency - APAC,"Mumbai, India",go to market,Head of Growth,247,low,low,Greenhouse
Plaud,JAPAC | India,us market,,13,medium,medium,Ashby
Scopely,"IN - Bangalore, India",,,13,low,low,Greenhouse
Skillsoft,India - Remote,pipeline,,13,low,low,Greenhouse
The Knot Worldwide,"New York City, New York, United States",,,13,low,low,Greenhouse
TiDB,Remote - India,pipeline,,13,low,low,Greenhouse
Udemy,"Sao Paulo, Brazil",pipeline,,26,low,low,Greenhouse
aeratechnology,"Mountain View, CA, USA",pipeline,"Associate Product Marketing Manager, Analyst Relations",52,low,low,Lever
ajax,Bengaluru,,,13,low,low,Lever
bf,"India, Gurgaon",,,39,low,low,Workday
certifyos,"Remote US, United States",pipeline,Head of Marketing,13,low,low,Ashby
clarivate,India - Bangalore,,,13,low,low,Workday
cochlear,"Mumbai, India",,,13,low,low,Workday
demandbase,"US - Remote, United States",pipeline,,26,low,low,Ashby
economicmodeling,Remote (Work From Home) US,pipeline,Director of Product Marketing - 1022,26,low,low,Lever
extremenetworks,Bangalore,,,13,low,low,Lever
fampay,Bengaluru,,Product Marketing Manager (Engagement & Retention),13,low,low,Lever
fmc,"Mumbai, India",,,39,low,low,Workday
gohighlevel,India,us market,,39,medium,medium,Lever
hackerone,"Seattle, Washington, United States",pipeline,,13,low,low,Ashby
hevodata,United States,pipeline,,13,low,low,Lever
primexbt,Remote,,,13,low,low,Greenhouse
spotify,Mumbai,,,13,low,low,Lever
tala,Philippines,,Product Marketing Manager,13,low,low,Lever
teikametrics,India / Remote,,,26,low,low,Lever
thoughtspot,India - Bangalore,,Principal Product Marketing Manager,39,low,low,Workday
upguard,Sydney,united states,Senior Product Marketing Manager,26,low,low,Lever
