company_name,location,objective_signal,title_match,open_roles,priority,fit,source
Consolidated,"Kochi, Mumbai, Chennai, Coimbatore, Bengaluru",,,4,low,low,Naukri
Coram AI,"Bengaluru, Karnataka, India",us market,,4,medium,medium,LinkedIn
Crescent Construction,Mumbai(Andheri),,,4,low,low,Naukri
"Crunchyroll, LLC","Mumbai, Maharashtra, India",,,8,low,low,Greenhouse
Cvent,"Gurugram, Haryana, India",,,4,low,low,LinkedIn
Cygnus A D Management Consulting Llp,Mumbai,,,4,low,low,Naukri
Danone,"Mumbai, Maharashtra, India",,,4,low,low,LinkedIn
Dash Ast Technology,Hyderabad,,,4,low,low,Naukri
DataNimbus,"Hyderabad, Telangana, India",,Head of Marketing,8,medium,medium,LinkedIn + Naukri
Dawn Solutions Pvt Ltd,Chennai(Tambaram West),,,4,low,low,Naukri
DeHaat,"Bengaluru, Karnataka, India",,,4,low,low,LinkedIn
Deconstruct,Bengaluru(HSR Layout),,,4,low,low,Naukri
Decorpot,"Bengaluru, Karnataka, India",,,4,low,low,LinkedIn
Delaplex,"Nagpur, Maharashtra, India",,,4,low,low,LinkedIn
Delhivery,"Bengaluru, Karnataka, India",,,8,low,low,LinkedIn + Naukri
Della Resorts and Adventure,"Mumbai, Maharashtra, India",,,4,low,low,LinkedIn
Deloitte,"Bengaluru, Karnataka, India",,,4,low,low,LinkedIn
Destinationhr,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",,,4,low,low,Naukri
Digitaljacks,Remote,,,4,low,low,Indeed
DishTV,"Noida, Uttar Pradesh, India",,,4,low,low,LinkedIn
Doceree,"Noida, New Delhi",,,4,low,low,Naukri
Double Ticks,Mumbai,,,4,low,low,Naukri
Dr Reddys,Hyderabad,,,4,low,low,Naukri
Dr. Reddy's Laboratories,"Hyderabad, Telangana, India",,,8,low,low,LinkedIn
Dreamsdesign,"Hyderabad, Vadodara",,Chief Marketing Officer (CMO),4,low,low,Naukri
E-Learning / EdTech,"Vijayawada, Hyderabad, Bengaluru",,,4,low,low,Naukri
Earn Go,Remote,,,4,low,low,Indeed
Easemytrip,Gurugram,,,4,low,low,Naukri
Ec-council,Noida,,,4,low,low,Naukri
Editvo,Noida,,Chief Marketing Officer (CMO),4,low,low,Naukri
Egmat,Bengaluru,,,4,low,low,Naukri
ElevenX Capital,Gurugram,,,4,low,low,Naukri
