company_name,location,objective_signal,title_match,open_roles,priority,fit,source
Cloud Counselage,Mumbai,,,10,low,low,Naukri
Compass Consult,Vadodara(Alkapuri),,,10,low,low,Naukri
Comviva,"Gurugram, Haryana, India",Global campaigns incl. US,Demand Generation - Manager,10,medium,medium,LinkedIn
Confidential Startup,Gurugram,,Head of Growth,10,low,low,Naukri
Conga,India - Bangalore,pipeline,,10,low,low,Greenhouse
Consolidated,"Kochi, Mumbai, Chennai, Coimbatore, Bengaluru",,,10,low,low,Naukri
Coram AI,"Bengaluru, Karnataka, India",us market,,10,medium,medium,LinkedIn
Crescent Construction,Mumbai(Andheri),,,10,low,low,Naukri
"Crunchyroll, LLC","Mumbai, Maharashtra, India",,,20,low,low,Greenhouse
Cvent,"Gurugram, Haryana, India",pipeline,,10,low,low,LinkedIn
Cygnus A D Management Consulting Llp,Mumbai,,,10,low,low,Naukri
Danone,"Mumbai, Maharashtra, India",,,10,low,low,LinkedIn
Dash Ast Technology,Hyderabad,pipeline,Product Marketing manager,10,low,low,Naukri
DataNimbus,"Hyderabad, Telangana, India",pipeline,Head of Marketing,20,medium,medium,LinkedIn + Naukri
Dawn Solutions Pvt Ltd,Chennai(Tambaram West),,,10,low,low,Naukri
DeHaat,"Bengaluru, Karnataka, India",,,10,low,low,LinkedIn
Deconstruct,Bengaluru(HSR Layout),,,10,low,low,Naukri
Decorpot,"Bengaluru, Karnataka, India",,Head of Growth Marketing,10,low,low,LinkedIn
Delaplex,"Nagpur, Maharashtra, India",,,10,low,low,LinkedIn
Delhivery,"Bengaluru, Karnataka, India",,,20,low,low,LinkedIn + Naukri
Della Resorts and Adventure,"Mumbai, Maharashtra, India",,,10,low,low,LinkedIn
Deloitte,"Bengaluru, Karnataka, India",,,10,low,low,LinkedIn
Destinationhr,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",,,10,low,low,Naukri
Digitaljacks,Remote,,,10,low,low,Indeed
DishTV,"Noida, Uttar Pradesh, India",,,10,low,low,LinkedIn
Doceree,"Noida, New Delhi",,,10,low,low,Naukri
Double Ticks,Mumbai,,Head of Growth,10,low,low,Naukri
Dr Reddys,Hyderabad,pipeline,,10,low,low,Naukri
Dr. Reddy's Laboratories,"Hyderabad, Telangana, India",pipeline,,20,low,low,LinkedIn
Dreamsdesign,"Hyderabad, Vadodara",,Chief Marketing Officer (CMO),10,low,low,Naukri
E-Learning / EdTech,"Vijayawada, Hyderabad, Bengaluru",,,10,low,low,Naukri
Earn Go,Remote,,,10,low,low,Indeed
Easemytrip,Gurugram,,Chief Marketing Officer,10,low,low,Naukri
Ec-council,Noida,,Product Marketing Manager,10,low,low,Naukri
Editvo,Noida,,Chief Marketing Officer (CMO),10,low,low,Naukri
Egmat,Bengaluru,,,10,low,low,Naukri
ElevenX Capital,Gurugram,,,10,low,low,Naukri
Eli Lilly and Company,"Gurgaon, Haryana, India",pipeline,Intern - CMO,20,low,low,LinkedIn + Naukri
Elucidata,"Bengaluru, Karnataka, India",,Director of Product Marketing,10,low,low,LinkedIn
Emami Ltd,"Mumbai, Maharashtra, India",,,10,low,low,LinkedIn
Emeritus,"Bengaluru, Karnataka, India",united states,,10,low,low,LinkedIn
Endress+Hauser Group,"Aurangabad, Maharashtra, India",,Head of Marketing - India & South East Asia,10,medium,medium,LinkedIn
Enterpret,New York City,united states,Founding Director of Product Marketing,10,low,low,Greenhouse
Entri Software Private Limited,"Koramangala, Bengaluru, Karnataka",,,20,low,low,Indeed
Estabizz,Rajkot,,Chief Marketing Officer,10,low,low,Naukri
Ethane Web Technologies Pvt Ltd,"Noida, Uttar Pradesh",,,10,low,low,Indeed
Ethos Life,"Bangalore, India",pipeline,,20,low,low,Greenhouse
Explore,"Delhi, Delhi, India",pipeline,"Head of Marketing, Explore",10,medium,medium,LinkedIn
Eze Perfumes,"Mumbai, Maharashtra, India",,,10,low,low,LinkedIn
FABINDIA LIMITED,"Faridabad, Haryana, India",,,10,low,low,LinkedIn
Fareportal,"Gurugram, Haryana, India",,,10,low,low,LinkedIn
Fertis India,"Anantapur, Nagpur, Vadodara",,Demand Generation Manager,10,low,low,Naukri
Finarb Analytics Consulting,"Kolkata, Hyderabad, Bengaluru",,Product Marketing Manager,10,low,low,Naukri
Finmo,Mysuru,,,10,low,low,Naukri
Flentis Corporation,Noida,,,10,low,low,Naukri
Flipkart,"Bengaluru, Karnataka, India",,,10,low,low,LinkedIn
Ford,Hybrid - Chennai(Sholinganallur),,,10,low,low,Naukri
Fortuna Retail,Gurugram(MG Road),pipeline,Head of Growth &amp; Revenue Operations,10,low,low,Naukri
"Fossil Group, Inc.","Bengaluru, Karnataka",,,10,low,low,Indeed
Foxsense Innovations,"Coimbatore, Tamil Nadu, India",us market,,10,medium,medium,LinkedIn
Foxsky Electronics India Pvt Ltd,"Sahibabad, Ghaziabad, Uttar Pradesh",,,10,low,low,Indeed
Fractal Analytics,Noida,,Growth Manager Demand Generation Specialist,50,low,low,Naukri
Fraganote,"New Delhi, Delhi, India",,,10,low,low,LinkedIn
"Future Market Insights, Inc.","Pune City, Maharashtra, India",,,10,low,low,LinkedIn
Future Property Solutions,Hyderabad,,,10,low,low,Naukri
Futurecom Technologies Pvt Ltd.,Noida,pipeline,Head of Marketing | AI-Agentic B2B Steel Platform,10,medium,medium,Naukri
G Square Housing,"Chennai, Coimbatore",,,10,low,low,Naukri
Gadgeon Smart Systems,Kochi,,,10,low,low,Naukri
Gansons,"Thane District, Maharashtra",,,20,low,low,Indeed
Gericare,Chennai(T Nagar),,,10,low,low,Naukri
GetMyCourse,India,,Head of Marketing (Digital Courses & CPD) - WFH(INDIA),10,medium,medium,LinkedIn
Gharpayy,Bengaluru,,Head of Growth,10,low,low,Naukri
Ginesys,Bengaluru,,Product Marketing Manager,10,low,low,Naukri
Ginza Industries Limited,"Mumbai, Maharashtra, India",,,10,low,low,LinkedIn
GitLab,"Remote, India",pipeline,,10,low,low,Greenhouse
Glanbia,"Gurgaon, Haryana, India",,,10,low,low,LinkedIn
Global Finance & Technology Network (GFTN),"Bhubaneswar, Odisha, India",,,10,low,low,LinkedIn
Good insurance brokers pvt ltd,"Chennai, Tamil Nadu",,,10,low,low,Indeed
Goodwin Financial Holdings,Hyderabad,,Chief Marketing Officer,10,low,low,Naukri
Google,"Gurugram, Haryana, India",,"Product Marketing Manager, Google Play",30,low,low,LinkedIn
Grazitti Interactive,Panchkula,pipeline,Lead Demand Generation &amp; Marketing Operations,10,low,low,Naukri
HCLTech,"Gautam Budh Nagar, Uttar Pradesh",,,10,low,low,Indeed
HDFC securities,"Mumbai, Maharashtra, India",,,10,low,low,LinkedIn
Habilelabs,Jaipur,,Senior Digital Marketing Manager Demand Generation,10,low,low,Naukri
Happilo International,Bengaluru,,,10,low,low,Naukri
Harbour Trendz,Mumbai,,,10,low,low,Naukri
Harness,"Bengaluru, Karnataka, India",pipeline,,10,low,low,Greenhouse
Havells India Ltd,"Noida, Uttar Pradesh, India",,,10,low,low,LinkedIn
Hero MotoCorp,"Gurugram, Haryana, India",,,10,low,low,LinkedIn
Hilton,"Jaipur, Rajasthan, India",,,20,low,low,LinkedIn
Hinduja Housing Finance,Chennai,,,10,low,low,Naukri
Hindustan Marketing Company,Guwahati,,,10,low,low,Naukri
Howell Protection Systems India Pvt. Ltd.,"New Delhi, Delhi, India",pipeline,Head of Marketing,10,medium,medium,LinkedIn
Hrxl 360,Mumbai(Santacruz West),,,10,low,low,Naukri
Hyatt Regency,Greater Lucknow Area,,,10,low,low,LinkedIn
IDFC FIRST Bank,"Mumbai, Maharashtra, India",,Product Marketing Manager,10,low,low,LinkedIn
IT By Design,Noida,,Product Marketing Manager,10,low,low,Naukri
Impact Investment Exchange,Dhaka,,,10,low,low,Naukri
Indus Parking Services,Gurugram,,,10,low,low,Naukri
Infosys,"Bengaluru East, Karnataka, India",,,20,low,low,LinkedIn
Inmobi,Bengaluru,,,10,low,low,Naukri
Intellect Design Arena,Mumbai,pipeline,,10,low,low,Naukri
Intellve Solutions,Mumbai,,Demand Generation Manager,10,low,low,Naukri
IntouchCX,Hyderabad,,"SEO Manager, Demand Generation",20,low,low,Naukri
Itester,Hyderabad(Miyapur),,Chief Marketing Officer (CMO),10,low,low,Naukri
JIL Information Technology,Noida,,,10,low,low,Naukri
Jagdale Industries,"JP Nagar, Bengaluru, Karnataka",,,20,low,low,Indeed
Jasgur Life Sciences,"Mumbai, New Delhi, Pune",,,10,low,low,Naukri
Jatah Worx India,Bengaluru,,Director/Senior Director Demand Generation,10,low,low,Naukri
JdV by Hyatt,"Goa, India",,,10,low,low,LinkedIn
Jindal Aluminium,Bengaluru,,,10,low,low,Naukri
Jinvani Channel,Agra,,,10,low,low,Naukri
JioSaavn,Navi Mumbai,,Senior Product Marketing Manager,10,low,low,Naukri
Jobgether,India,pipeline,,10,low,low,LinkedIn
Jones Lang LaSalle (JLL),Mumbai,,,10,low,low,Naukri
