company_name,location,objective_signal,title_match,open_roles,priority,fit,source
Zee Entertainment-International Business,"Mumbai, Maharashtra, India",,,5,low,low,LinkedIn
Zycus Infotech,"Mumbai, Pune, Bengaluru",,,5,low,low,Naukri
aeratechnology,"Mountain View, CA, USA",,,20,low,low,Lever
ajax,Bengaluru,,,5,low,low,Lever
bf,"India, Gurgaon",,,15,low,low,Workday
certifyos,"Remote US, United States",,Head of Marketing,5,medium,medium,Ashby
clarivate,India - Bangalore,,,5,low,low,Workday
cochlear,"Mumbai, India",,,5,low,low,Workday
d.light,Hybrid - Gurugram,united states,,5,low,low,Naukri
demandbase,"US - Remote, United States",,,10,low,low,Ashby
eG Innovations,Chennai,Across India/US/EU markets,Product Marketing Manager,5,medium,medium,Naukri
economicmodeling,Remote (Work From Home) US,,,10,low,low,Lever
extremenetworks,Bangalore,,,5,low,low,Lever
fampay,Bengaluru,,,5,low,low,Lever
fmc,"Mumbai, India",,,15,low,low,Workday
gohighlevel,India,us market,,15,medium,medium,Lever
hackerone,"Seattle, Washington, United States",,,5,low,low,Ashby
hevodata,United States,,,5,low,low,Lever
iBase-t,Ahmedabad,,,5,low,low,Naukri
iQuanti,"Bengaluru, Karnataka, India",,,5,low,low,LinkedIn
iSOCRATES Inc,Bengaluru,,,5,low,low,Naukri
pepper square,"Bengaluru, Karnataka",,,10,low,low,Indeed
primexbt,Remote,,,5,low,low,Greenhouse
spotify,Mumbai,,,5,low,low,Lever
tala,Philippines,,,5,low,low,Lever
teikametrics,India / Remote,,,10,low,low,Lever
thoughtspot,India - Bangalore,,,15,low,low,Workday
ti Steps,"Chennai, Bengaluru",,Chief Marketing Officer,5,medium,medium,Naukri
upguard,Sydney,united states,,10,low,low,Lever
